,PCE_before,PCE_after,PCE_delta,PCE_before_ceil,PCE_before_x,PCE_before_ceil_x,PCE_before_median_x,PCE_before_mean_x
1832,11.23365398,9.81182396,12.65687923,12,2,14.15807755,12.39123084,12.39098432
1833,17.88288956,11.56266089,35.34232344,18,4,19.24496343,18.06233812,18.02807995
1834,16.76965944,10.75617625,35.8593042,17,4,19.24496343,18.06233812,18.02807995
1835,14.09622279,12.85025231,8.839037985,15,2,14.15807755,12.39123084,12.39098432
1836,14.73735476,13.57386572,7.894829521,15,3,16.76745839,15.28330418,15.37391053
1837,16.96991774,10.68112016,37.05850361,17,4,19.24496343,18.06233812,18.02807995
1838,16.37274973,10.2902483,37.1501521,17,3,16.76745839,15.28330418,15.37391053
1839,15.93690386,13.67829433,14.17219775,16,3,16.76745839,15.28330418,15.37391053
1840,17.1497313,12.05927069,29.68245114,18,4,19.24496343,18.06233812,18.02807995
1841,19.12575054,7.229053365,62.20251147,20,4,19.24496343,18.06233812,18.02807995
1842,12.09538205,5.959865645,50.72610672,13,2,14.15807755,12.39123084,12.39098432
1843,17.79298399,7.284553089,59.05940739,18,4,19.24496343,18.06233812,18.02807995
1844,10.54075415,5.318941679,49.53926821,11,2,14.15807755,12.39123084,12.39098432
1845,18.63558242,7.873833743,57.74838927,19,4,19.24496343,18.06233812,18.02807995
1846,10.95956429,5.516896622,49.66135081,11,2,14.15807755,12.39123084,12.39098432
1847,17.90838444,9.818655739,45.17285591,18,4,19.24496343,18.06233812,18.02807995
1848,17.52105516,9.685202434,44.72249335,18,4,19.24496343,18.06233812,18.02807995
1849,16.84795418,9.224827478,45.24660157,17,4,19.24496343,18.06233812,18.02807995
1850,16.75870186,9.578979313,42.8417583,17,3,16.76745839,15.28330418,15.37391053
1851,16.05740875,3.927263987,75.54235525,17,3,16.76745839,15.28330418,15.37391053
1852,16.56473225,4.087207562,75.3258459,17,3,16.76745839,15.28330418,15.37391053
1853,16.12809607,3.905133972,75.78676396,17,3,16.76745839,15.28330418,15.37391053
1854,16.58043319,4.299883458,74.0665192,17,3,16.76745839,15.28330418,15.37391053
1855,15.92296495,3.956821129,75.15022396,16,3,16.76745839,15.28330418,15.37391053
1856,14.53535644,4.547897196,68.7114849,15,3,16.76745839,15.28330418,15.37391053
1857,15.58973126,13.44232708,13.77447853,16,3,16.76745839,15.28330418,15.37391053
1858,17.0777784,15.64124483,8.411712215,18,4,19.24496343,18.06233812,18.02807995
1859,16.60772514,14.3925445,13.33825443,17,3,16.76745839,15.28330418,15.37391053
1860,16.09178504,13.4798437,16.2315202,17,3,16.76745839,15.28330418,15.37391053
1861,16.11641414,13.58194962,15.72598283,17,3,16.76745839,15.28330418,15.37391053
1862,13.55156277,12.97316093,4.26815606,14,2,14.15807755,12.39123084,12.39098432
1863,15.84510834,12.33954408,22.12395261,16,3,16.76745839,15.28330418,15.37391053
1864,19.76541831,6.49848819,67.12192939,20,5,28.98172701,20.98497404,21.32565512
1865,15.48999794,7.258646297,53.13978528,16,3,16.76745839,15.28330418,15.37391053
1866,19.66376648,6.636203924,66.25161345,20,5,28.98172701,20.98497404,21.32565512
1867,18.0670111,7.21663116,60.05630859,19,4,19.24496343,18.06233812,18.02807995
1868,14.25610094,9.488779505,33.44057013,15,3,16.76745839,15.28330418,15.37391053
1869,13.73471737,8.602967594,37.36334457,14,2,14.15807755,12.39123084,12.39098432
1870,14.14293789,8.6180557,39.06460055,15,2,14.15807755,12.39123084,12.39098432
1871,16.38461784,16.34515448,0.2408562,17,3,16.76745839,15.28330418,15.37391053
1872,16.33091131,16.29550798,0.216787183,17,3,16.76745839,15.28330418,15.37391053
1873,16.23669209,16.20673564,0.184498481,17,3,16.76745839,15.28330418,15.37391053
1874,17.11042775,16.98985984,0.704645805,18,4,19.24496343,18.06233812,18.02807995
1875,17.16169383,17.0140714,0.860185636,18,4,19.24496343,18.06233812,18.02807995
1876,17.07188787,16.89625453,1.028786868,18,4,19.24496343,18.06233812,18.02807995
1877,14.29008634,13.9102977,2.657707086,15,3,16.76745839,15.28330418,15.37391053
1878,14.27023816,13.94553232,2.275405888,15,3,16.76745839,15.28330418,15.37391053
1879,14.05610268,13.79753551,1.839536671,15,2,14.15807755,12.39123084,12.39098432
1880,15.00919806,14.2793042,4.862977057,16,3,16.76745839,15.28330418,15.37391053
1881,13.70357291,13.54312396,1.170854858,14,2,14.15807755,12.39123084,12.39098432
1882,14.24681293,13.77391099,3.319352451,15,3,16.76745839,15.28330418,15.37391053
1883,14.7187685,14.63707619,0.555021393,15,3,16.76745839,15.28330418,15.37391053
1884,19.4144569,14.07418649,27.50666909,20,5,28.98172701,20.98497404,21.32565512
1885,13.75754997,12.08508314,12.15671999,14,2,14.15807755,12.39123084,12.39098432
1886,14.84498055,13.52038332,8.922862713,15,3,16.76745839,15.28330418,15.37391053
1887,13.2542967,10.99195891,17.06871244,14,2,14.15807755,12.39123084,12.39098432
1888,13.2795749,11.90132904,10.37868962,14,2,14.15807755,12.39123084,12.39098432
1889,13.20293475,11.32419666,14.2297006,14,2,14.15807755,12.39123084,12.39098432
1890,14.16501334,12.6376199,10.78285918,15,3,16.76745839,15.28330418,15.37391053
